epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2209,1.07345,3.01946,5.81061,0.01407,2.60772,0.00313,0.96809,0.57383,0.41374,0.00309,0.95745,0.5592,0.2451,0.63101,2.48438,7.12868,0.01407,0,0.000657005,0.000657005,0.000657005
2,58.1686,1.19623,2.34675,4.24087,0.01697,1.4547,0.81564,0.65893,0.75505,0.46337,0.78889,0.63608,0.6741,0.26741,1.2357,3.66805,5.101,0.02814,0,0.00131712,0.00131712,0.00131712
3,85.3366,1.29109,2.41595,3.57939,0.01774,1.39418,0.7737,0.69107,0.79844,0.54179,0.76179,0.68043,0.76967,0.43122,0.91421,1.99087,3.65334,0.02288,0,0.00197063,0.00197063,0.00197063
4,112.542,1.34564,2.31661,2.78589,0.01946,1.32256,0.80708,0.7566,0.80333,0.52142,0.84027,0.72755,0.78427,0.41923,1.2315,2.19999,3.04237,0.03606,0,0.0019703,0.0019703,0.0019703
5,139.612,1.35339,2.31892,2.44345,0.01923,1.31983,0.85749,0.76818,0.8269,0.49367,0.84572,0.75815,0.81321,0.45602,1.42159,1.86464,2.15922,0.04226,0,0.0019604,0.0019604,0.0019604
6,166.714,1.39666,2.20938,2.14351,0.01962,1.26788,0.85151,0.76596,0.84363,0.60075,0.85399,0.78723,0.85445,0.51652,0.92007,1.69059,1.81939,0.02236,0,0.0019505,0.0019505,0.0019505
7,193.82,1.40973,2.1886,1.96407,0.01999,1.25426,0.85751,0.79787,0.84661,0.5583,0.85751,0.79787,0.85207,0.5226,1.17352,1.62158,1.48051,0.0362,0,0.0019406,0.0019406,0.0019406
8,220.874,1.32308,2.16904,1.61932,0.01954,1.17278,0.88048,0.78371,0.85435,0.54983,0.88048,0.78371,0.85252,0.52454,1.18936,1.57562,1.42806,0.02863,0,0.0019307,0.0019307,0.0019307
9,247.977,1.38544,2.13221,1.57502,0.02002,1.22083,0.88614,0.76596,0.85891,0.57877,0.88614,0.76596,0.86854,0.50236,1.07353,1.69567,1.28686,0.0334,0,0.0019208,0.0019208,0.0019208
10,275.004,1.27662,2.1481,1.50926,0.0172,1.17399,0.89068,0.78723,0.86243,0.55715,0.91545,0.80851,0.86407,0.4191,1.14167,2.1542,1.13377,0.03156,0,0.0019109,0.0019109,0.0019109
11,302.06,1.27616,2.07288,1.29503,0.0174,1.07136,0.88098,0.7766,0.85112,0.57481,0.92863,0.79787,0.89208,0.50556,0.98598,1.71183,1.00225,0.02418,0,0.001901,0.001901,0.001901
12,329.124,1.26628,2.0709,1.26429,0.01778,1.11854,0.81419,0.74585,0.82563,0.54979,0.83873,0.7746,0.85779,0.47122,1.10974,1.61306,1.04928,0.0321,0,0.0018911,0.0018911,0.0018911
13,356.207,1.22344,2.10797,1.29335,0.01677,1.13876,0.8791,0.7766,0.85868,0.56825,0.8791,0.7766,0.85946,0.54607,1.21428,1.43577,0.86479,0.02881,0,0.0018812,0.0018812,0.0018812
14,383.271,1.23769,2.03211,1.23435,0.01699,1.067,0.87505,0.81915,0.84577,0.57671,0.89344,0.82979,0.85319,0.51915,1.07757,1.65968,0.99503,0.03141,0,0.0018713,0.0018713,0.0018713
15,410.289,1.2628,2.01965,1.29567,0.0171,1.14216,0.86391,0.80851,0.86308,0.62224,0.86391,0.80851,0.86097,0.54801,0.90918,1.4384,0.90568,0.02302,0,0.0018614,0.0018614,0.0018614
16,437.319,1.18068,1.93934,1.17705,0.01588,1.06002,0.86863,0.8441,0.87383,0.52911,0.9003,0.84043,0.87509,0.49452,1.28897,1.50729,0.85054,0.0367,0,0.0018515,0.0018515,0.0018515
17,464.37,1.21472,1.98749,1.22481,0.01685,1.06858,0.92925,0.83841,0.89511,0.62004,0.92925,0.83841,0.89185,0.54987,1.01237,1.48357,0.81865,0.02752,0,0.0018416,0.0018416,0.0018416
18,491.417,1.18248,1.94103,1.13784,0.01615,1.06587,0.88635,0.8297,0.9083,0.66271,0.88635,0.8297,0.90411,0.5762,0.94182,1.47438,0.74616,0.0206,0,0.0018317,0.0018317,0.0018317
19,518.839,1.22729,1.97507,1.10457,0.01686,1.07188,0.89949,0.79787,0.86683,0.56592,0.89949,0.79787,0.87107,0.52429,1.24196,1.39718,0.81536,0.03325,0,0.0018218,0.0018218,0.0018218
20,545.878,1.18981,1.95454,1.12109,0.01571,1.13662,0.77367,0.84043,0.86196,0.64482,0.77607,0.84802,0.86465,0.4922,0.85886,1.73306,0.85991,0.02021,0,0.0018119,0.0018119,0.0018119
21,572.942,1.21518,2.01797,1.13334,0.01611,1.06777,0.80798,0.80577,0.84917,0.58772,0.81619,0.79787,0.86286,0.50066,0.98595,1.64454,0.99806,0.02542,0,0.001802,0.001802,0.001802
22,599.999,1.14892,1.98279,1.1798,0.01515,1.14234,0.88173,0.82979,0.90108,0.59941,0.91691,0.85106,0.90348,0.56997,1.1172,1.52024,0.73512,0.02838,0,0.0017921,0.0017921,0.0017921
23,627.086,1.20347,1.87196,1.10859,0.01632,1.03567,0.83615,0.81435,0.86691,0.61094,0.83615,0.81435,0.86575,0.52743,1.04744,1.46824,0.75122,0.02777,0,0.0017822,0.0017822,0.0017822
24,654.158,1.1562,1.93711,1.04453,0.01544,1.05047,0.85907,0.81915,0.87349,0.6462,0.87176,0.82979,0.87714,0.57219,0.82575,1.519,0.70269,0.02041,0,0.0017723,0.0017723,0.0017723
25,681.199,1.12537,1.92989,1.06359,0.01515,0.9887,0.80332,0.82559,0.87373,0.60377,0.81367,0.83623,0.87019,0.51756,1.0494,1.64464,0.88365,0.02596,0,0.0017624,0.0017624,0.0017624
