epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5602,1.24628,3.0036,2.17402,1.44239,0,0.85957,0.82979,0.83036,0.53387,0.84978,0.78234,0.80107,0.36784,1.15528,2.45848,1.88108,1.45277,0,0.000661836,0.000661836,0.000661836
2,52.3352,1.20915,2.5373,1.78727,1.40909,0,0.90554,0.78723,0.85366,0.55385,0.86825,0.75532,0.80735,0.38579,1.10819,2.73178,1.5131,1.35229,0,0.00132193,0.00132193,0.00132193
3,75.2364,1.33319,2.61436,1.71212,1.44718,0,0.91599,0.82979,0.83006,0.49572,0.89534,0.79787,0.79593,0.36008,1.41382,2.60272,1.73904,1.52084,0,0.00197542,0.00197542,0.00197542
4,98.1077,1.25558,2.46684,1.49581,1.37245,0,0.87644,0.69149,0.7323,0.46998,0.84913,0.67021,0.68242,0.28873,1.18541,2.63215,1.59176,1.3124,0,0.0019703,0.0019703,0.0019703
5,120.98,1.27353,2.4039,1.44711,1.423,0,0.9301,0.84941,0.84599,0.51795,0.91846,0.83877,0.82345,0.45412,1.24045,1.82082,1.27039,1.32648,0,0.0019604,0.0019604,0.0019604
6,143.932,1.19349,2.33323,1.40411,1.36676,0,0.93951,0.82979,0.87017,0.57638,0.95168,0.84043,0.87334,0.48177,0.92603,1.82268,1.02533,1.20913,0,0.0019505,0.0019505,0.0019505
7,167.031,1.26129,2.30303,1.39878,1.38031,0,0.86223,0.79897,0.84811,0.51834,0.87371,0.80961,0.84604,0.45317,1.11615,2.10855,1.13843,1.26379,0,0.0019406,0.0019406,0.0019406
8,189.787,1.17307,2.26975,1.23164,1.33689,0,0.86229,0.84043,0.83089,0.56793,0.86229,0.84043,0.82651,0.4769,1.06468,1.91486,1.0267,1.22645,0,0.0019307,0.0019307,0.0019307
9,212.679,1.18264,2.27148,1.26757,1.33956,0,0.92095,0.84043,0.83008,0.57491,0.90905,0.82979,0.81798,0.42665,1.23161,2.373,1.33738,1.3133,0,0.0019208,0.0019208,0.0019208
10,235.532,1.1527,2.19188,1.17959,1.32055,0,0.91973,0.81915,0.84333,0.59356,0.93167,0.82979,0.86675,0.49075,0.93766,1.93812,1.30428,1.13974,0,0.0019109,0.0019109,0.0019109
