epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.341,0.98717,2.01644,1.68599,0.01721,0.36633,0.7946,0.67235,0.86999,0.63331,0.75756,0.65734,0.83484,0.55229,1.64878,2.52396,1.23079,0.01148,0,0,0,0
2,23.4788,0.93439,2.19439,2.00628,0.0141,0.40199,0.7946,0.67235,0.86999,0.63331,0.75756,0.65734,0.83484,0.55229,1.64878,2.52396,1.23079,0.01148,0,3.57397e-05,3.57397e-05,3.57397e-05
3,24.6026,0.82745,2.01189,1.46769,0.01184,0.331,0.7946,0.67235,0.86999,0.63331,0.75756,0.65734,0.83484,0.55229,1.64878,2.52396,1.23079,0.01148,0,6.36253e-05,6.36253e-05,6.36253e-05
4,28.5335,1.12658,2.31749,1.69627,0.02389,0.4373,0.8841,0.62664,0.87017,0.6334,0.8841,0.62664,0.86354,0.55333,1.67236,2.52116,1.2211,0.01201,0,8.3657e-05,8.3657e-05,8.3657e-05
5,37.8063,0.99758,1.78323,1.03592,0.00905,0.27306,0.8841,0.62664,0.87017,0.6334,0.8841,0.62664,0.86354,0.55333,1.67236,2.52116,1.2211,0.01201,0,7.1876e-05,7.1876e-05,7.1876e-05
6,38.8729,0.89434,1.77062,1.27104,0.01042,0.18812,0.8841,0.62664,0.87017,0.6334,0.8841,0.62664,0.86354,0.55333,1.67236,2.52116,1.2211,0.01201,0,6.0095e-05,6.0095e-05,6.0095e-05
7,39.9385,0.87804,1.64853,1.38733,0.01313,0.27453,0.79272,0.66861,0.78807,0.56359,0.85399,0.6162,0.75414,0.49506,1.66476,2.51995,1.26954,0.01199,0,4.8314e-05,4.8314e-05,4.8314e-05
8,43.1067,0.77498,1.47332,0.82057,0.01156,0.25293,0.79272,0.66861,0.78807,0.56359,0.85399,0.6162,0.75414,0.49506,1.66476,2.51995,1.26954,0.01199,0,3.6533e-05,3.6533e-05,3.6533e-05
9,44.2127,1.03336,2.04295,1.42086,0.0178,0.31892,0.79272,0.66861,0.78807,0.56359,0.85399,0.6162,0.75414,0.49506,1.66476,2.51995,1.26954,0.01199,0,2.4752e-05,2.4752e-05,2.4752e-05
10,46.137,0.89297,1.73601,1.20401,0.01186,0.21093,0.8568,0.65618,0.78659,0.57819,0.8568,0.65618,0.77811,0.49344,1.62823,2.5268,1.29639,0.01158,0,1.2971e-05,1.2971e-05,1.2971e-05
